city,state_id,lat,lng,population,density,city_with_state
New York,NY,40.6943,-73.9249,18908608,11080.3,"New York, NY"
Los Angeles,CA,34.1141,-118.4068,11922389,3184.7,"Los Angeles, CA"
Chicago,IL,41.8375,-87.6866,8497759,4614.5,"Chicago, IL"
Miami,FL,25.784,-80.2101,6080145,4758.9,"Miami, FL"
Houston,TX,29.786,-95.3885,5970127,1384.0,"Houston, TX"
Dallas,TX,32.7935,-96.7667,5830932,1478.7,"Dallas, TX"
Philadelphia,PA,40.0077,-75.1339,5683533,4578.4,"Philadelphia, PA"
Atlanta,GA,33.7628,-84.422,5180179,1412.3,"Atlanta, GA"
Washington,DC,38.9047,-77.0163,5116378,4235.7,"Washington, DC"
Boston,MA,42.3188,-71.0852,4328315,5319.0,"Boston, MA"
Phoenix,AZ,33.5722,-112.0892,4064275,1198.9,"Phoenix, AZ"
Detroit,MI,42.3834,-83.1024,3725908,1772.2,"Detroit, MI"
Seattle,WA,47.6211,-122.3244,3561397,3376.6,"Seattle, WA"
San Francisco,CA,37.7558,-122.4449,3364979,7030.7,"San Francisco, CA"
San Diego,CA,32.8313,-117.1222,3046560,1639.7,"San Diego, CA"
Minneapolis,MN,44.9635,-93.2678,2892569,3052.2,"Minneapolis, MN"
Tampa,FL,27.9945,-82.4447,2861173,1320.9,"Tampa, FL"
Brooklyn,NY,40.6501,-73.9496,2736074,15200.5,"Brooklyn, NY"
Denver,CO,39.762,-104.8758,2687458,1792.9,"Denver, CO"
Queens,NY,40.7498,-73.7976,2405464,8503.7,"Queens, NY"
Riverside,CA,33.9381,-117.3949,2332836,1503.9,"Riverside, CA"
Las Vegas,NV,36.2333,-115.2654,2248047,1755.1,"Las Vegas, NV"
Baltimore,MD,39.3051,-76.6144,2196524,2788.2,"Baltimore, MD"
St. Louis,MO,38.6359,-90.2451,2130881,1864.3,"St. Louis, MO"
Portland,OR,45.5371,-122.65,2095808,1868.8,"Portland, OR"
San Antonio,TX,29.4632,-98.5238,2058444,1118.8,"San Antonio, TX"
Sacramento,CA,38.5677,-121.4685,1957738,2049.4,"Sacramento, CA"
Austin,TX,30.3005,-97.7522,1905945,1154.1,"Austin, TX"
Orlando,FL,28.4773,-81.337,1882705,1070.2,"Orlando, FL"
San Juan,PR,18.3985,-66.061,1814587,3128.8,"San Juan, PR"
San Jose,CA,37.3012,-121.848,1771413,2172.6,"San Jose, CA"
Pittsburgh,PA,40.4397,-79.9763,1749091,2118.5,"Pittsburgh, PA"
Indianapolis,IN,39.7771,-86.1458,1729849,941.8,"Indianapolis, IN"
Manhattan,NY,40.7834,-73.9662,1694263,28653.9,"Manhattan, NY"
Cincinnati,OH,39.1413,-84.506,1692702,1530.6,"Cincinnati, OH"
Kansas City,MO,39.1238,-94.5541,1689556,620.7,"Kansas City, MO"
Cleveland,OH,41.4764,-81.6805,1680247,1839.6,"Cleveland, OH"
Columbus,OH,39.9862,-82.9855,1572546,1581.0,"Columbus, OH"
Bronx,NY,40.8501,-73.8662,1472654,13356.3,"Bronx, NY"
Virginia Beach,VA,36.7335,-76.0435,1443020,722.4,"Virginia Beach, VA"
Charlotte,NC,35.2083,-80.8303,1427444,1089.8,"Charlotte, NC"
Milwaukee,WI,43.0642,-87.9675,1290940,2301.6,"Milwaukee, WI"
Providence,RI,41.823,-71.4187,1290271,3979.7,"Providence, RI"
Jacksonville,FL,30.3322,-81.6749,1288298,491.0,"Jacksonville, FL"
Nashville,TN,36.1715,-86.7842,1177657,555.4,"Nashville, TN"
Salt Lake City,UT,40.7776,-111.9311,1173879,700.8,"Salt Lake City, UT"
Raleigh,NC,35.8324,-78.6429,1163152,1210.0,"Raleigh, NC"
Richmond,VA,37.5295,-77.4756,1073223,1463.7,"Richmond, VA"
Memphis,TN,35.1087,-89.9663,1037998,824.8,"Memphis, TN"
Oklahoma City,OK,35.4676,-97.5136,998806,433.6,"Oklahoma City, OK"
Hartford,CT,41.7661,-72.6834,974684,2689.4,"Hartford, CT"
Louisville,KY,38.1663,-85.6485,963812,923.1,"Louisville, KY"
Buffalo,NY,42.9018,-78.8487,944589,2645.7,"Buffalo, NY"
New Orleans,LA,30.0687,-89.9288,932759,866.5,"New Orleans, LA"
Fort Worth,TX,32.7817,-97.3474,924663,1021.2,"Fort Worth, TX"
Bridgeport,CT,41.1918,-73.1954,908251,3568.4,"Bridgeport, CT"
Tucson,AZ,32.1541,-110.8787,878320,863.9,"Tucson, AZ"
El Paso,TX,31.8476,-106.43,865270,1011.4,"El Paso, TX"
Omaha,NE,41.2627,-96.0529,821345,1323.9,"Omaha, NE"
McAllen,TX,26.2252,-98.2467,797341,884.4,"McAllen, TX"
Birmingham,AL,33.5279,-86.7971,782111,526.4,"Birmingham, AL"
Albuquerque,NM,35.1054,-106.6465,769986,1159.8,"Albuquerque, NM"
Tulsa,OK,36.1283,-95.9042,731743,804.2,"Tulsa, OK"
Fresno,CA,36.783,-119.7939,725276,1805.3,"Fresno, CA"
Charleston,SC,32.8168,-79.9687,706884,503.3,"Charleston, SC"
Rochester,NY,43.168,-77.6162,699921,2278.0,"Rochester, NY"
Dayton,OH,39.7805,-84.2003,668825,950.0,"Dayton, OH"
Cape Coral,FL,26.6443,-81.9957,654405,724.2,"Cape Coral, FL"
Mission Viejo,CA,33.6096,-117.6551,642211,2038.4,"Mission Viejo, CA"
